,id,campaign_id,coupon_id,customer_id,redemption_status,campaign_type,start_date,end_date,age_range,marital_status,rented,family_size,no_of_children,income_bracket,item_id,date,quantity,selling_price,other_discount,coupon_discount,brand,brand_type,category
237,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,64337,2013-03-09,1,136.42,0.0,0.0,3520,Established,Meat
245,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,59894,2013-02-24,1,142.12,0.0,0.0,3521,Established,Meat
246,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,59894,2013-03-16,1,154.59,0.0,0.0,3521,Established,Meat
251,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,21344,2013-03-16,1,177.74,0.0,0.0,2011,Established,Packaged Meat
255,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,6240,2013-03-02,2,142.12,-142.12,0.0,984,Established,Packaged Meat
278,102,8,8,659,0,X,2013-02-16,2013-04-05,,,,,,,4308,2013-03-16,1,89.05,-35.26,0.0,910,Established,Packaged Meat
298,117,13,22,741,0,X,2013-05-19,2013-07-05,,,,,,,23264,2013-05-28,1,89.05,-19.95,0.0,56,Local,Grocery
313,117,13,22,741,0,X,2013-05-19,2013-07-05,,,,,,,25552,2013-05-29,1,89.05,-40.96,0.0,1558,Established,Grocery
333,121,13,24,1214,0,X,2013-05-19,2013-07-05,,,,,,,64337,2013-06-19,1,139.63,0.0,0.0,3520,Established,Meat
335,121,13,24,1214,0,X,2013-05-19,2013-07-05,,,,,,,59894,2013-06-19,1,145.33,0.0,0.0,3521,Established,Meat
362,154,8,7,1195,0,X,2013-02-16,2013-04-05,56-70,Married,0.0,2,,5.0,36173,2013-02-23,1,53.43,0.0,0.0,5125,Established,Natural Products
381,180,12,107,879,0,Y,2013-04-22,2013-05-24,46-55,Single,1.0,1,,4.0,6563,2013-04-24,1,28.14,-7.12,0.0,56,Local,Grocery
394,193,8,725,1233,0,X,2013-02-16,2013-04-05,,,,,,,11825,2013-03-01,3,159.22,0.0,0.0,782,Established,Grocery
395,193,8,725,1233,0,X,2013-02-16,2013-04-05,,,,,,,11825,2013-03-12,3,159.22,0.0,0.0,782,Established,Grocery
396,193,8,725,1233,0,X,2013-02-16,2013-04-05,,,,,,,11825,2013-03-26,2,106.15,0.0,0.0,782,Established,Grocery
402,197,9,788,155,0,Y,2013-03-11,2013-04-12,70+,,0.0,2,,5.0,22400,2013-04-03,4,178.1,-76.94,0.0,946,Established,Grocery
409,205,29,416,874,0,Y,2012-10-08,2012-11-30,46-55,Married,0.0,2,,5.0,53518,2012-11-16,1,89.05,-74.45,0.0,89,Established,Grocery
429,291,11,913,1489,0,Y,2013-04-22,2013-06-07,46-55,Married,0.0,2,,3.0,28375,2013-05-23,1,85.13,0.0,0.0,1134,Established,Grocery
436,299,13,960,467,1,X,2013-05-19,2013-07-05,46-55,,0.0,1,,3.0,27801,2013-06-17,1,35.62,0.0,-35.62,1235,Established,Grocery
437,299,13,960,467,1,X,2013-05-19,2013-07-05,46-55,,0.0,1,,3.0,27801,2013-06-17,1,35.62,0.0,-35.62,1235,Established,Grocery
461,299,13,960,467,1,X,2013-05-19,2013-07-05,46-55,,0.0,1,,3.0,11889,2013-05-19,2,71.24,0.0,0.0,1235,Established,Grocery
462,299,13,960,467,1,X,2013-05-19,2013-07-05,46-55,,0.0,1,,3.0,11889,2013-06-17,2,71.24,0.0,0.0,1235,Established,Grocery
472,306,11,1044,1332,0,Y,2013-04-22,2013-06-07,36-45,Married,0.0,2,,8.0,69863,2013-05-08,1,118.61,-30.63,0.0,1762,Established,Pharmaceutical
473,306,11,1044,1332,0,Y,2013-04-22,2013-06-07,36-45,Married,0.0,2,,8.0,69873,2013-05-08,1,118.97,-40.96,0.0,1762,Established,Pharmaceutical
487,317,13,796,474,0,X,2013-05-19,2013-07-05,56-70,Married,0.0,4,2,6.0,30221,2013-06-10,2,160.29,0.0,0.0,967,Established,Grocery
488,322,8,481,1089,0,X,2013-02-16,2013-04-05,36-45,,0.0,5+,3+,4.0,33938,2013-03-19,1,182.02,-45.59,0.0,206,Established,Grocery
496,351,12,466,1387,0,Y,2013-04-22,2013-05-24,46-55,,0.0,1,,1.0,56024,2013-05-02,2,142.48,-77.65,0.0,172,Established,Grocery
497,356,8,598,324,0,X,2013-02-16,2013-04-05,,,,,,,57632,2013-02-21,1,71.24,0.0,0.0,487,Established,Grocery
499,356,8,598,324,0,X,2013-02-16,2013-04-05,,,,,,,57880,2013-03-01,1,59.49,-11.75,0.0,487,Established,Grocery
506,359,26,797,214,1,X,2012-08-12,2012-09-21,46-55,Married,0.0,2,,1.0,18754,2012-08-19,2,118.97,-23.51,-71.24,967,Established,Grocery
507,359,26,797,214,1,X,2012-08-12,2012-09-21,46-55,Married,0.0,2,,1.0,18754,2012-08-19,2,118.97,-23.51,-71.24,967,Established,Grocery
508,359,26,797,214,1,X,2012-08-12,2012-09-21,46-55,Married,0.0,2,,1.0,18754,2012-09-13,3,178.1,-35.62,0.0,967,Established,Grocery
532,359,26,797,214,1,X,2012-08-12,2012-09-21,46-55,Married,0.0,2,,1.0,25035,2012-08-19,6,356.2,-71.24,0.0,967,Established,Grocery
533,359,26,797,214,1,X,2012-08-12,2012-09-21,46-55,Married,0.0,2,,1.0,25035,2012-09-13,3,178.1,-35.62,0.0,967,Established,Grocery
576,384,10,279,1285,0,Y,2013-04-08,2013-05-10,,,,,,,6375,2013-05-08,1,89.05,-24.58,0.0,4412,Established,Pharmaceutical
578,387,13,754,1103,1,X,2013-05-19,2013-07-05,26-35,Married,0.0,2,,4.0,8664,2013-05-30,1,102.59,-89.41,-35.62,864,Established,Grocery
579,387,13,754,1103,1,X,2013-05-19,2013-07-05,26-35,Married,0.0,2,,4.0,8664,2013-05-30,1,102.59,-89.41,-35.62,864,Established,Grocery
580,387,13,754,1103,1,X,2013-05-19,2013-07-05,26-35,Married,0.0,2,,4.0,8664,2013-06-12,1,106.86,-85.13,0.0,864,Established,Grocery
585,401,8,68,779,0,X,2013-02-16,2013-04-05,26-35,Single,0.0,3,2,4.0,32246,2013-03-31,1,35.62,-6.77,0.0,56,Local,Grocery
606,430,8,11,764,0,X,2013-02-16,2013-04-05,,,,,,,37394,2013-02-21,1,160.29,-88.69,0.0,1143,Established,Grocery
607,430,8,11,764,0,X,2013-02-16,2013-04-05,,,,,,,37394,2013-03-14,1,160.29,-88.69,0.0,1143,Established,Grocery
614,465,8,598,1201,0,X,2013-02-16,2013-04-05,18-25,,0.0,1,,1.0,57978,2013-03-15,1,71.24,0.0,0.0,487,Established,Grocery
615,470,26,492,1044,0,X,2012-08-12,2012-09-21,,,,,,,47815,2012-09-13,1,106.5,-14.25,0.0,209,Established,Grocery
617,473,26,529,1464,0,X,2012-08-12,2012-09-21,18-25,,0.0,1,,1.0,16321,2012-08-22,1,71.24,-24.58,0.0,278,Established,Grocery
621,473,26,529,1464,0,X,2012-08-12,2012-09-21,18-25,,0.0,1,,1.0,27633,2012-08-22,1,71.24,-24.58,0.0,278,Established,Grocery
623,473,26,529,1464,0,X,2012-08-12,2012-09-21,18-25,,0.0,1,,1.0,53768,2012-08-27,2,249.34,-99.02,0.0,278,Established,Grocery
638,474,13,601,866,0,X,2013-05-19,2013-07-05,,,,,,,57632,2013-05-27,1,66.97,-4.27,0.0,487,Established,Grocery
639,474,13,601,866,0,X,2013-05-19,2013-07-05,,,,,,,57632,2013-06-13,1,59.49,-11.75,0.0,487,Established,Grocery
690,491,13,21,1419,0,X,2013-05-19,2013-07-05,,,,,,,31593,2013-05-24,1,67.68,0.0,0.0,56,Local,Grocery
691,491,13,21,1419,0,X,2013-05-19,2013-07-05,,,,,,,31593,2013-06-09,1,53.43,-14.25,0.0,56,Local,Grocery
716,491,13,21,1419,0,X,2013-05-19,2013-07-05,,,,,,,13472,2013-05-24,2,71.24,-70.53,0.0,387,Established,Grocery
756,491,13,21,1419,0,X,2013-05-19,2013-07-05,,,,,,,18168,2013-05-24,2,35.62,-20.66,0.0,1337,Established,Grocery
788,491,13,21,1419,0,X,2013-05-19,2013-07-05,,,,,,,18102,2013-05-24,1,17.81,-10.33,0.0,1337,Established,Grocery
810,491,13,21,1419,0,X,2013-05-19,2013-07-05,,,,,,,5012,2013-05-24,1,17.81,-10.33,0.0,1337,Established,Grocery
820,499,12,107,268,0,Y,2013-04-22,2013-05-24,70+,Married,0.0,2,,2.0,21197,2013-05-02,1,28.14,-6.77,0.0,56,Local,Grocery
871,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,9178,2013-06-18,2,56.28,0.0,0.0,56,Local,Packaged Meat
887,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,54697,2013-05-20,2,70.53,-85.49,0.0,1278,Established,Packaged Meat
888,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,54697,2013-05-27,1,35.26,-42.74,0.0,1278,Established,Packaged Meat
889,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,54697,2013-06-18,2,70.53,-85.49,0.0,1278,Established,Packaged Meat
890,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,54697,2013-06-22,3,133.57,-100.45,0.0,1278,Established,Packaged Meat
891,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,54697,2013-06-23,1,44.52,-33.48,0.0,1278,Established,Packaged Meat
892,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,54697,2013-06-24,2,89.05,-66.97,0.0,1278,Established,Packaged Meat
893,577,13,24,53,0,X,2013-05-19,2013-07-05,56-70,,0.0,1,,3.0,54697,2013-07-01,2,89.05,-66.97,0.0,1278,Established,Packaged Meat
901,618,13,586,872,0,X,2013-05-19,2013-07-05,70+,Married,0.0,2,,7.0,15633,2013-06-02,1,53.07,0.0,0.0,461,Established,Grocery
924,736,3,670,444,0,Y,2012-12-22,2013-02-16,46-55,,0.0,2,,2.0,22264,2013-02-04,1,59.49,0.0,0.0,676,Established,Grocery
931,777,8,989,514,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,6.0,55016,2013-02-27,1,159.93,0.0,0.0,1367,Established,Grocery
932,777,8,989,514,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,6.0,55017,2013-02-20,1,106.86,-53.07,0.0,1367,Established,Grocery
933,777,8,989,514,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,6.0,55017,2013-02-27,1,159.93,0.0,0.0,1367,Established,Grocery
934,777,8,989,514,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,6.0,55017,2013-03-04,1,159.93,0.0,0.0,1367,Established,Grocery
935,779,29,416,102,0,Y,2012-10-08,2012-11-30,,,,,,,53518,2012-11-15,1,89.05,-74.45,0.0,89,Established,Grocery
937,779,29,416,102,0,Y,2012-10-08,2012-11-30,,,,,,,53520,2012-11-15,1,89.05,-74.45,0.0,89,Established,Grocery
944,806,13,23,159,0,X,2013-05-19,2013-07-05,36-45,Married,1.0,3,1,1.0,22072,2013-06-08,1,70.88,0.0,0.0,56,Local,Pharmaceutical
946,806,13,23,159,0,X,2013-05-19,2013-07-05,36-45,Married,1.0,3,1,1.0,48870,2013-06-08,1,427.08,0.0,0.0,4369,Established,Pharmaceutical
953,110236,13,578,1147,0,X,2013-05-19,2013-07-05,,,,,,,45204,2013-05-19,1,63.76,-10.69,0.0,412,Established,Grocery
976,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,17696,2013-03-08,1,89.05,-28.14,0.0,350,Established,Packaged Meat
977,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,17696,2013-04-03,1,106.5,-10.69,0.0,350,Established,Packaged Meat
978,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,21321,2013-03-08,1,89.05,-28.14,0.0,350,Established,Packaged Meat
1008,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,66729,2013-03-08,3,320.58,-32.06,0.0,1558,Established,Grocery
1033,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,26993,2013-03-08,1,59.49,-68.39,0.0,1562,Established,Grocery
1034,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,26993,2013-03-22,1,106.5,-21.37,0.0,1562,Established,Grocery
1037,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,34451,2013-04-03,1,95.82,0.0,0.0,119,Established,Grocery
1045,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,36099,2013-03-08,1,95.82,0.0,0.0,119,Established,Grocery
1062,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,36353,2013-03-08,1,89.05,-45.95,0.0,280,Established,Grocery
1063,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,36353,2013-03-15,1,135.0,0.0,0.0,280,Established,Grocery
1064,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,36353,2013-03-22,1,135.0,0.0,0.0,280,Established,Grocery
1075,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,19776,2013-03-08,1,106.86,-42.39,0.0,280,Established,Grocery
1076,863,8,6,1259,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,3,1,5.0,19776,2013-03-15,1,149.25,0.0,0.0,280,Established,Grocery
1094,880,8,63,338,0,X,2013-02-16,2013-04-05,46-55,,0.0,1,,5.0,35630,2013-03-01,1,111.49,0.0,0.0,56,Local,Grocery
1098,886,9,578,495,0,Y,2013-03-11,2013-04-12,36-45,Married,1.0,2,,8.0,35510,2013-03-11,1,59.49,-14.96,0.0,412,Established,Grocery
1129,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,30934,2013-06-28,1,44.52,-18.88,0.0,56,Local,Grocery
1146,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,25574,2013-06-28,1,142.12,-71.24,0.0,56,Local,Grocery
1153,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,24492,2013-06-14,3,160.29,-29.92,0.0,56,Local,Grocery
1158,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,9520,2013-06-20,1,42.39,-28.5,0.0,56,Local,Grocery
1169,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,28939,2013-06-20,1,70.88,-12.47,0.0,56,Local,Grocery
1176,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,31095,2013-05-25,1,63.76,0.0,0.0,56,Local,Grocery
1177,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,27592,2013-06-20,1,42.39,-28.5,0.0,56,Local,Grocery
1195,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,15575,2013-05-29,1,44.52,-61.98,0.0,56,Local,Grocery
1203,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46394,2013-06-14,1,14.25,0.0,0.0,56,Local,Grocery
1218,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46201,2013-06-28,1,14.25,0.0,0.0,56,Local,Grocery
1236,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46231,2013-06-14,1,14.25,0.0,0.0,56,Local,Grocery
1237,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46231,2013-06-28,1,14.25,0.0,0.0,56,Local,Grocery
1246,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46436,2013-06-14,1,14.25,0.0,0.0,56,Local,Grocery
1247,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46436,2013-06-28,1,14.25,0.0,0.0,56,Local,Grocery
1260,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46282,2013-06-28,1,14.25,0.0,0.0,56,Local,Grocery
1269,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,46536,2013-06-28,1,14.25,0.0,0.0,56,Local,Grocery
1317,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,14769,2013-05-25,1,53.43,-14.25,0.0,56,Local,Grocery
1318,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,14769,2013-06-04,1,53.43,-14.25,0.0,56,Local,Grocery
1319,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,14769,2013-06-28,1,53.43,-14.25,0.0,56,Local,Grocery
1327,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,6563,2013-05-25,1,28.14,-7.12,0.0,56,Local,Grocery
1328,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,6563,2013-06-14,1,35.26,0.0,0.0,56,Local,Grocery
1353,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,30197,2013-06-20,3,160.29,-105.79,0.0,56,Local,Grocery
1359,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,8282,2013-06-28,1,53.43,-35.26,0.0,56,Local,Grocery
1360,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,21435,2013-05-29,1,35.62,-35.26,0.0,387,Established,Grocery
1361,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,13472,2013-05-29,1,35.62,-35.26,0.0,387,Established,Grocery
1371,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,20376,2013-05-25,1,53.07,0.0,-17.81,461,Established,Grocery
1372,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,20376,2013-05-25,1,53.07,0.0,-17.81,461,Established,Grocery
1381,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,19598,2013-06-04,2,178.1,-34.91,0.0,819,Established,Grocery
1382,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,19598,2013-06-14,1,89.05,-17.45,0.0,819,Established,Grocery
1387,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,22985,2013-05-25,1,89.05,-17.45,0.0,1075,Established,Grocery
1388,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,22985,2013-06-14,1,95.82,-10.69,0.0,1075,Established,Grocery
1390,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,16344,2013-06-28,1,151.03,-35.62,-26.71,1075,Established,Grocery
1391,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,16344,2013-06-28,1,151.03,-35.62,-26.71,1075,Established,Grocery
1396,998,13,21,1457,1,X,2013-05-19,2013-07-05,46-55,Single,0.0,1,,5.0,31355,2013-06-20,1,71.24,-35.26,0.0,946,Established,Grocery
1404,1003,8,59,1387,0,X,2013-02-16,2013-04-05,46-55,,0.0,1,,1.0,33323,2013-02-25,1,320.22,0.0,0.0,56,Local,Packaged Meat
1428,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,40697,2013-03-21,1,35.62,-24.58,0.0,56,Local,Grocery
1435,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,55140,2013-03-21,1,71.24,-35.26,0.0,56,Local,Grocery
1447,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,40813,2013-03-21,1,71.24,-30.28,0.0,133,Established,Grocery
1449,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,40770,2013-03-13,1,44.52,-13.18,0.0,946,Established,Grocery
1450,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,40320,2013-03-21,1,50.94,0.0,0.0,133,Established,Grocery
1453,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,40979,2013-03-07,2,89.05,-26.36,0.0,946,Established,Grocery
1457,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,39917,2013-03-21,1,71.24,-60.2,0.0,133,Established,Grocery
1458,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,40936,2013-03-21,1,71.24,-60.2,0.0,133,Established,Grocery
1459,1004,8,6,611,0,X,2013-02-16,2013-04-05,,,,,,,65474,2013-03-21,1,71.24,-70.88,0.0,133,Established,Grocery
1503,1010,8,705,1043,0,X,2013-02-16,2013-04-05,,,,,,,36728,2013-02-23,1,89.05,-56.64,0.0,714,Established,Grocery
1506,1024,13,23,161,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,1.0,47120,2013-05-24,1,59.49,-47.02,0.0,311,Established,Pharmaceutical
1514,1024,13,23,161,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,1.0,26793,2013-05-24,1,35.62,-28.14,0.0,1983,Established,Pharmaceutical
1524,1024,13,23,161,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,1.0,60180,2013-05-24,1,35.62,-35.26,0.0,816,Local,Pharmaceutical
1538,1024,13,23,161,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,1.0,12420,2013-05-24,1,35.62,-24.58,0.0,56,Local,Pharmaceutical
1540,1024,13,23,161,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,1.0,68622,2013-05-24,1,89.05,-17.45,0.0,1009,Established,Pharmaceutical
1541,1024,13,23,161,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,1.0,22157,2013-05-24,1,35.62,-35.26,0.0,56,Local,Pharmaceutical
1551,1024,13,23,161,0,X,2013-05-19,2013-07-05,46-55,,0.0,1,,1.0,26451,2013-06-12,2,99.02,0.0,0.0,56,Local,Pharmaceutical
1636,1083,13,1100,967,0,X,2013-05-19,2013-07-05,36-45,,0.0,1,,5.0,19529,2013-06-27,3,106.86,-20.3,0.0,2113,Established,Grocery
1643,1110,6,677,1192,1,Y,2013-01-28,2013-03-01,70+,,0.0,1,,2.0,68180,2013-01-31,1,81.57,-7.12,-44.52,681,Established,Grocery
1644,1110,6,677,1192,1,Y,2013-01-28,2013-03-01,70+,,0.0,1,,2.0,68180,2013-01-31,1,81.57,-7.12,-44.52,681,Established,Grocery
1645,1110,6,677,1192,1,Y,2013-01-28,2013-03-01,70+,,0.0,1,,2.0,68180,2013-02-27,1,81.57,-7.12,0.0,681,Established,Grocery
1646,1110,6,677,1192,1,Y,2013-01-28,2013-03-01,70+,,0.0,1,,2.0,68282,2013-01-31,1,81.57,-7.12,0.0,681,Established,Grocery
1648,1110,6,677,1192,1,Y,2013-01-28,2013-03-01,70+,,0.0,1,,2.0,68398,2013-02-22,1,81.57,-7.12,0.0,681,Established,Grocery
1651,1121,11,1099,1451,0,Y,2013-04-22,2013-06-07,36-45,,0.0,2,,8.0,29796,2013-06-04,1,78.01,0.0,0.0,2088,Established,Pharmaceutical
1670,1139,13,586,1136,1,X,2013-05-19,2013-07-05,46-55,Married,0.0,2,,6.0,20376,2013-05-24,1,70.88,0.0,0.0,461,Established,Grocery
1671,1139,13,586,1136,1,X,2013-05-19,2013-07-05,46-55,Married,0.0,2,,6.0,20376,2013-06-28,1,45.95,-7.12,-17.81,461,Established,Grocery
1672,1139,13,586,1136,1,X,2013-05-19,2013-07-05,46-55,Married,0.0,2,,6.0,20376,2013-06-28,1,45.95,-7.12,-17.81,461,Established,Grocery
1675,1141,8,55,195,0,X,2013-02-16,2013-04-05,26-35,,0.0,2,,5.0,29966,2013-03-16,1,59.49,-43.46,0.0,56,Local,Grocery
1687,1154,8,604,1046,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,2,,6.0,45372,2013-03-01,1,89.05,-8.9,0.0,487,Established,Grocery
1695,1154,8,604,1046,0,X,2013-02-16,2013-04-05,46-55,Married,0.0,2,,6.0,45252,2013-03-08,1,89.05,-8.9,0.0,487,Established,Grocery
1700,1173,5,455,1064,0,Y,2013-01-12,2013-02-15,36-45,Married,0.0,2,,9.0,9483,2013-01-30,1,26.71,0.0,0.0,158,Established,Pharmaceutical
1708,1173,5,455,1064,0,Y,2013-01-12,2013-02-15,36-45,Married,0.0,2,,9.0,10319,2013-01-16,4,106.86,0.0,0.0,158,Established,Pharmaceutical
1709,1173,5,455,1064,0,Y,2013-01-12,2013-02-15,36-45,Married,0.0,2,,9.0,10319,2013-01-30,2,53.43,0.0,0.0,158,Established,Pharmaceutical
